Home,Away,Odds_1,Odds_X,Odds_2,O_2.5,U_2.5
Brentford,Nott'm Forest,1.91,3.6,4.0,1.86,2.04
Sheffield United,West Ham,3.4,3.3,2.2,2.05,1.75
Bournemouth,Liverpool,4.2,4.5,1.7,1.44,2.7
Brighton,Wolves,1.65,4.33,5.0,1.62,2.25
Nott'm Forest,Arsenal,7.5,5.0,1.4,1.62,2.25
Fulham,Everton,2.45,3.2,3.0,2.05,1.75
Luton,Brighton,4.2,4.2,1.75,1.65,2.2
Crystal Palace,Sheffield United,1.62,3.6,6.5,2.08,1.73
Aston Villa,Newcastle,1.85,4.0,3.8,1.5,2.5
Man City,Burnley,1.08,12.0,21.0,1.33,3.4
Tottenham,Brentford,1.67,4.2,4.75,1.5,2.5
Liverpool,Chelsea,1.57,4.33,5.25,1.44,2.7
West Ham,Bournemouth,2.4,3.75,2.75,1.62,2.25
Wolves,Man United,2.63,3.6,2.55,1.75,2.05
Everton,Tottenham,3.0,3.6,2.25,1.62,2.25
Brighton,Crystal Palace,1.7,4.0,4.75,1.73,2.08
Burnley,Fulham,2.9,3.4,2.38,1.99,1.91
Newcastle,Luton,1.44,4.75,6.5,1.57,2.35
Sheffield United,Aston Villa,5.25,4.2,1.62,1.62,2.25
Bournemouth,Nott'm Forest,1.7,4.2,4.5,1.65,2.2
Chelsea,Wolves,1.62,4.0,5.5,1.7,2.1
Man United,West Ham,1.62,4.2,5.0,1.6,2.3
Arsenal,Liverpool,2.2,3.6,3.1,1.67,2.15
Brentford,Man City,7.0,4.75,1.4,1.57,2.35
Man City,Everton,1.18,8.0,13.0,1.44,2.7
Fulham,Bournemouth,2.38,3.5,2.8,1.73,2.08
Liverpool,Burnley,1.17,8.0,17.0,1.33,3.4
Luton,Sheffield United,1.75,3.75,4.75,1.85,2.05
Tottenham,Brighton,1.8,4.2,3.8,1.4,2.88
Wolves,Brentford,2.1,3.6,3.4,1.75,2.05
Nott'm Forest,Newcastle,3.3,3.75,2.05,1.7,2.1
West Ham,Arsenal,6.0,4.33,1.53,1.67,2.15
Aston Villa,Man United,2.15,3.75,3.1,1.53,2.4
Crystal Palace,Chelsea,4.2,3.8,1.85,1.86,2.04
Brentford,Liverpool,5.5,4.33,1.57,1.48,2.6
Burnley,Arsenal,10.0,5.75,1.29,1.57,2.35
Fulham,Aston Villa,2.9,3.75,2.2,1.6,2.3
Newcastle,Bournemouth,1.83,4.2,3.75,1.48,2.6
Nott'm Forest,West Ham,2.38,3.5,2.9,1.89,2.01
Tottenham,Wolves,1.53,4.75,5.25,1.44,2.7
Man City,Chelsea,1.33,5.5,8.0,1.44,2.7
Sheffield United,Brighton,5.0,4.2,1.62,1.57,2.35
Luton,Man United,4.0,4.0,1.8,1.57,2.35
Everton,Crystal Palace,1.7,3.6,5.25,2.1,1.7
Man City,Brentford,1.18,8.0,13.0,1.33,3.4
Liverpool,Luton,1.2,7.0,13.0,1.3,3.5
Aston Villa,Nott'm Forest,1.53,4.5,5.75,1.57,2.35
Brighton,Everton,1.83,3.8,4.2,1.65,2.2
Crystal Palace,Burnley,1.95,3.5,4.0,2.1,1.7
Man United,Fulham,1.57,4.33,5.5,1.57,2.35
Bournemouth,Man City,7.0,5.25,1.4,1.48,2.6
Arsenal,Newcastle,1.36,5.25,8.0,1.48,2.6
Wolves,Sheffield United,1.44,4.75,7.0,1.65,2.2
West Ham,Brentford,2.5,3.5,2.75,1.7,2.1
Brentford,Chelsea,3.1,3.75,2.15,1.53,2.4
Everton,West Ham,2.05,3.6,3.5,1.92,1.98
Fulham,Brighton,2.55,3.6,2.63,1.62,2.25
Newcastle,Wolves,1.91,4.0,3.6,1.57,2.35
Nott'm Forest,Liverpool,6.0,4.33,1.53,1.48,2.6
Tottenham,Crystal Palace,1.5,4.33,6.5,1.53,2.4
Luton,Aston Villa,4.33,4.2,1.73,1.44,2.7
Burnley,Bournemouth,3.75,3.6,1.95,1.7,2.1
Man City,Man United,1.25,5.75,11.0,1.36,3.1
Sheffield United,Arsenal,17.0,7.0,1.18,1.4,2.88
Man United,Everton,1.83,3.6,4.0,1.67,2.15
Bournemouth,Sheffield United,1.33,5.25,8.0,1.53,2.4
Crystal Palace,Luton,1.75,3.8,4.2,1.75,2.05
Wolves,Fulham,2.5,3.4,2.75,1.95,1.95
Arsenal,Brentford,1.22,7.0,11.0,1.44,2.7
Aston Villa,Tottenham,2.38,4.0,2.6,1.36,3.1
Brighton,Nott'm Forest,1.8,4.0,4.0,1.62,2.25
West Ham,Burnley,1.67,4.0,4.75,1.7,2.1
Liverpool,Man City,3.0,3.75,2.2,1.5,2.5
Chelsea,Newcastle,1.91,4.0,3.6,1.44,2.7
Bournemouth,Luton,1.5,4.75,5.75,1.44,2.7
Burnley,Brentford,3.25,3.6,2.15,1.75,2.05
Luton,Nott'm Forest,2.8,3.5,2.45,1.67,2.15
Fulham,Tottenham,3.5,3.8,1.95,1.48,2.6
West Ham,Aston Villa,2.63,3.75,2.45,1.57,2.35
Newcastle,West Ham,1.83,4.2,3.8,1.5,2.5
Bournemouth,Everton,2.2,3.6,3.2,1.7,2.1
Chelsea,Burnley,1.29,6.0,9.5,1.48,2.6
Nott'm Forest,Crystal Palace,2.2,3.3,3.4,2.08,1.73
Sheffield United,Fulham,4.5,4.0,1.73,1.65,2.2
Tottenham,Luton,1.2,8.0,11.0,1.25,4.0
Aston Villa,Wolves,1.6,4.33,5.0,1.57,2.35
Brentford,Man United,3.0,3.8,2.2,1.53,2.4
Liverpool,Brighton,1.36,5.5,7.5,1.36,3.1
Man City,Arsenal,1.91,3.8,3.8,1.7,2.1
Newcastle,Everton,2.0,3.75,3.5,1.67,2.2
Nott'm Forest,Fulham,2.7,3.4,2.63,1.8,2.0
Bournemouth,Crystal Palace,1.95,3.8,3.6,1.73,2.1
Burnley,Wolves,2.45,3.6,2.75,1.84,2.06
West Ham,Tottenham,3.3,4.2,1.95,1.33,3.4
Arsenal,Luton,1.1,10.0,19.0,1.25,4.0
Brentford,Brighton,2.38,3.8,2.75,1.57,2.38
Man City,Aston Villa,1.3,6.0,8.0,1.4,3.0
Liverpool,Sheffield United,1.09,12.0,21.0,1.2,4.5
Chelsea,Man United,2.0,4.0,3.4,1.4,3.0
Crystal Palace,Man City,9.5,5.25,1.33,1.67,2.2
Aston Villa,Brentford,1.7,4.0,4.75,1.53,2.5
Everton,Burnley,1.65,4.0,5.25,1.8,2.0
Fulham,Newcastle,2.38,3.8,2.8,1.5,2.63
Luton,Bournemouth,3.75,3.8,1.91,1.5,2.63
Wolves,West Ham,2.5,3.6,2.7,1.8,2.0
Brighton,Arsenal,5.0,4.33,1.62,1.62,2.3
Man United,Liverpool,4.75,4.5,1.6,1.33,3.4
Sheffield United,Chelsea,7.0,5.25,1.4,1.4,3.0
Tottenham,Nott'm Forest,1.4,5.5,6.5,1.4,3.0
Newcastle,Tottenham,2.7,4.0,2.3,1.36,3.2
Brentford,Sheffield United,1.44,5.0,6.5,1.53,2.5
Burnley,Brighton,3.5,3.75,2.0,1.67,2.2
Man City,Luton,1.1,11.0,19.0,1.29,3.75
Nott'm Forest,Wolves,2.1,3.4,3.5,1.86,2.04
Bournemouth,Man United,2.4,3.9,2.6,1.44,2.75
Liverpool,Crystal Palace,1.22,7.0,12.0,1.4,3.0
West Ham,Fulham,2.38,3.6,2.8,1.67,2.2
Arsenal,Aston Villa,1.29,5.75,10.0,1.5,2.63
Chelsea,Everton,1.7,4.2,4.5,1.53,2.5
Luton,Brentford,3.1,3.75,2.15,1.57,2.38
Sheffield United,Burnley,2.75,3.6,2.45,1.67,2.2
Wolves,Arsenal,8.5,4.5,1.4,1.62,2.3
Everton,Nott'm Forest,2.05,3.5,3.6,1.93,1.97
Aston Villa,Bournemouth,1.85,4.0,3.6,1.44,2.75
Crystal Palace,West Ham,2.1,3.6,3.4,1.8,2.0
Fulham,Liverpool,5.25,4.5,1.57,1.44,2.75
Arsenal,Chelsea,1.44,5.0,6.0,1.53,2.5
Wolves,Bournemouth,2.7,3.6,2.5,1.67,2.2
Crystal Palace,Newcastle,2.75,3.6,2.4,1.57,2.38
Everton,Liverpool,7.0,5.0,1.4,1.53,2.5
Man United,Sheffield United,1.3,6.5,7.5,1.36,3.2
Brighton,Man City,6.5,5.0,1.4,1.5,2.63
West Ham,Liverpool,5.5,5.0,1.5,1.36,3.2
Fulham,Crystal Palace,2.1,3.5,3.5,1.73,2.1
Man United,Burnley,1.5,4.75,5.5,1.36,3.2
Newcastle,Sheffield United,1.22,7.0,11.0,1.33,3.4
Wolves,Luton,1.95,3.8,3.6,1.62,2.3
Everton,Brentford,2.3,3.5,3.0,1.87,2.03
Aston Villa,Chelsea,2.15,3.8,3.0,1.44,2.75
Bournemouth,Brighton,2.25,3.8,2.9,1.44,2.75
Tottenham,Arsenal,4.2,4.2,1.75,1.5,2.63
Nott'm Forest,Man City,8.0,6.0,1.3,1.53,2.5
Chelsea,Tottenham,2.15,3.8,3.0,1.3,3.5
Luton,Everton,2.6,3.6,2.55,1.73,2.1
Arsenal,Bournemouth,1.22,7.5,11.0,1.33,3.4
Brentford,Fulham,2.1,3.8,3.2,1.57,2.38
Burnley,Newcastle,3.4,4.0,1.95,1.5,2.63
Sheffield United,Nott'm Forest,4.75,4.2,1.65,1.57,2.38
Man City,Wolves,1.08,12.0,21.0,1.3,3.5
Brighton,Aston Villa,2.75,3.75,2.45,1.5,2.63
Chelsea,West Ham,1.65,4.5,4.5,1.4,3.0
Liverpool,Tottenham,1.5,5.75,5.0,1.25,4.0
Crystal Palace,Man United,2.38,3.75,2.8,1.53,2.5
Fulham,Man City,13.0,7.0,1.2,1.36,3.2
Bournemouth,Brentford,1.95,4.0,3.5,1.44,2.75
Everton,Sheffield United,1.4,4.8,7.5,1.53,2.5
Newcastle,Brighton,1.57,4.75,4.75,1.33,3.4
Tottenham,Burnley,1.36,5.75,7.0,1.25,4.0
West Ham,Luton,1.8,4.2,3.8,1.44,2.75
Wolves,Crystal Palace,2.88,3.5,2.38,1.8,2.0
Nott'm Forest,Chelsea,3.4,3.8,2.0,1.5,2.63
Man United,Arsenal,7.0,5.5,1.36,1.36,3.2
Aston Villa,Liverpool,4.2,4.33,1.7,1.33,3.4
Tottenham,Man City,6.5,6.0,1.36,1.25,4.0
Brighton,Chelsea,3.3,4.0,1.95,1.4,3.0
Man United,Newcastle,2.75,4.0,2.3,1.33,3.4
Arsenal,Everton,1.18,8.0,12.0,1.36,3.2
Brentford,Newcastle,2.9,3.9,2.2,1.36,3.2
Brighton,Man United,2.15,4.0,2.9,1.33,3.4
Burnley,Nott'm Forest,3.0,3.5,2.3,1.53,2.5
Chelsea,Bournemouth,1.45,5.0,6.0,1.29,3.75
Crystal Palace,Aston Villa,1.85,4.33,3.6,1.4,3.0
Liverpool,Wolves,1.17,8.0,15.0,1.22,4.33
Luton,Fulham,2.9,3.9,2.2,1.44,2.75
Man City,West Ham,1.08,12.0,21.0,1.2,4.5
Sheffield United,Tottenham,7.0,6.0,1.33,1.22,4.33
