Home,Hscore,Ascore,Away,date_diff
Leeds United,0,4,Manchester City,22
Tottenham,3,1,Leicester City,21
Everton,1,0,Chelsea,21
West Ham,1,2,Arsenal,21
Manchester Utd,3,0,Brentford,20
Crystal Palace,1,0,Watford,15
Brentford,3,0,Southampton,15
Chelsea,2,2,Wolves,15
Burnley,1,3,Aston Villa,15
Brighton,4,0,Manchester Utd,15
Liverpool,1,1,Tottenham,15
Leicester City,1,2,Everton,14
Norwich City,0,4,West Ham,14
Arsenal,2,1,Leeds United,14
Manchester City,5,0,Newcastle Utd,14
Aston Villa,1,2,Liverpool,12
Leeds United,0,3,Chelsea,11
Leicester City,3,0,Norwich City,11
Watford,0,0,Everton,11
Wolves,1,5,Manchester City,11
Tottenham,3,0,Arsenal,10
Tottenham,1,0,Burnley,7
Leeds United,1,1,Brighton,7
Watford,1,5,Leicester City,7
Wolves,1,1,Norwich City,7
Aston Villa,1,1,Crystal Palace,7
West Ham,2,2,Manchester City,7
Everton,2,3,Brentford,7
Newcastle Utd,2,0,Arsenal,6
Southampton,1,2,Liverpool,5
Everton,3,2,Crystal Palace,3
Aston Villa,1,1,Burnley,3
Chelsea,1,1,Leicester City,3
Brentford,1,2,Leeds United,0
Leicester City,4,1,Southampton,0
Crystal Palace,1,0,Manchester Utd,0
Arsenal,5,1,Everton,0
Brighton,3,1,West Ham,0
Norwich City,0,5,Tottenham,0
Manchester City,3,2,Aston Villa,0
Liverpool,3,1,Wolves,0
Burnley,1,2,Newcastle Utd,0
Chelsea,2,1,Watford,0
