Home,Hscore,Ascore,Away,date,Odds_1,Odds_X,Odds_2,O,U,proba_win,proba_draw,proba_lose,proba_O,proba_U
Brentford,3,0,Burnley,2023-10-21,1.83,3.75,4.2,1.95,1.95,0.48453812192742846,0.2758534555941617,0.23960818242717277,0.3913635254562406,0.8087738181948747
Manchester City,2,1,Brighton,2023-10-21,1.4,5.25,6.5,1.36,3.1,0.7397619636608462,0.15437556315530473,0.10577672587654714,0.6734462968192276,0.5394558689172098
Nott'ham Forest,2,2,Luton Town,2023-10-21,1.67,3.75,5.5,2.08,1.82,0.2381030496782594,0.23078991803841253,0.5311037309410234,0.5633021437454451,0.6596008429183281
Chelsea,2,2,Arsenal,2023-10-21,3.2,3.4,2.25,1.98,1.92,0.48409103475598747,0.28500525706408053,0.2309035550868026,0.35724559870048617,0.8337104653506755
Sheffield Utd,1,2,Manchester Utd,2023-10-21,6.5,5.25,1.4,1.53,2.4,0.4579208635949527,0.266189719051449,0.27588906779965094,0.4473180476237474,0.7646620184158767
Aston Villa,4,1,West Ham,2023-10-22,1.85,3.6,4.0,1.57,2.35,0.5148317331847064,0.23521018920397305,0.24995556411128927,0.5551676200593498,0.667618031547323
Tottenham,2,0,Fulham,2023-10-23,1.5,4.5,6.0,1.5,2.5,0.6477484036419286,0.20248123961809103,0.14975991455991633,0.5575823065535537,0.6652534559208501
Crystal Palace,1,2,Tottenham,2023-10-27,4.5,3.75,1.75,1.94,1.96,0.344119708320177,0.2944603850175917,0.36141986232408013,0.36684799932143364,0.8268389052822724
Chelsea,0,2,Brentford,2023-10-28,1.65,4.0,5.25,1.8,2.0,0.4357158042078046,0.27544271334460146,0.2888412963345428,0.4196811888272533,0.7869554410097037
Bournemouth,2,1,Burnley,2023-10-28,2.15,3.5,3.3,1.75,2.05,0.22199651506579435,0.2580510807355262,0.519951734145224,0.43817623488866697,0.7721482670862819
Arsenal,5,0,Sheffield Utd,2023-10-28,1.13,8.5,19.0,1.36,3.1,0.5828368861215855,0.2397492478450458,0.17741217783466626,0.4542862224266,0.7588848732477889
Wolves,2,2,Newcastle Utd,2023-10-28,4.2,4.0,1.75,1.75,2.05,0.16758492023732896,0.2702262284785058,0.562188490233724,0.3454819159512424,0.8419721545091458
West Ham,0,1,Everton,2023-10-29,2.15,3.5,3.3,1.73,2.08,0.5987706021912048,0.24138547038280683,0.15984249661535266,0.424110234807254,0.7834532368501945
Liverpool,3,0,Nott'ham Forest,2023-10-29,1.29,5.75,11.0,1.4,2.88,0.8057681979678781,0.14077982729246238,0.05341066494580949,0.5399587376432754,0.6823480691443001
Brighton,1,1,Fulham,2023-10-29,1.55,4.2,5.5,1.5,2.5,0.6492618974214078,0.19667268069294713,0.15405004985325085,0.5922304385837115,0.6302174904237368
Aston Villa,3,1,Luton Town,2023-10-29,1.25,6.5,9.5,1.48,2.6,0.38614190786071506,0.3014772531222433,0.31238080485430025,0.34140297377043477,0.8447935734951559
Manchester Utd,0,3,Manchester City,2023-10-29,5.0,3.8,1.67,1.7,2.1,0.33548402378693953,0.2183787841196571,0.44613002679965513,0.6886324583094556,0.5208776522442609
Fulham,0,1,Manchester Utd,2023-11-04,3.2,3.6,2.2,1.75,2.05,0.5472140587864925,0.23907122720706434,0.2137127667779173,0.5019677379009161,0.7175632848732012
Brentford,3,2,West Ham,2023-11-04,2.05,3.6,3.5,1.73,2.08,0.44297081981061276,0.23785279288302918,0.31917457695813967,0.5883703012198693,0.6342146208206136
Everton,1,1,Brighton,2023-11-04,3.1,3.6,2.2,1.57,2.35,0.2758778932920015,0.23417643475333966,0.48994305923070786,0.5809058995682921,0.6418831596624918
Burnley,0,2,Crystal Palace,2023-11-04,2.75,3.25,2.6,2.2,1.65,0.43044091979591226,0.2762338188937234,0.29332508891931725,0.41865505248762724,0.7877639718283209
Manchester City,6,1,Bournemouth,2023-11-04,1.1,11.0,19.0,1.29,3.6,0.9346552368774069,0.048255698281455074,0.014956884259094146,0.7877716649683272,0.380409342976942
Sheffield Utd,2,1,Wolves,2023-11-04,3.8,3.5,2.0,1.91,1.99,0.44252875628819605,0.2672502430987028,0.29022069773956727,0.45042019972600256,0.762096691283491
Newcastle Utd,1,0,Arsenal,2023-11-04,2.8,3.2,2.6,1.95,1.95,0.5707845054546035,0.2613682472833366,0.16784669621527545,0.3710569679813815,0.8237938227452815
Nott'ham Forest,2,0,Aston Villa,2023-11-05,4.2,3.75,1.85,1.73,2.08,0.286732428459786,0.24241664157446863,0.4708494501506318,0.5510263635751991,0.6716588394034381
Luton Town,1,1,Liverpool,2023-11-05,12.0,6.5,1.22,1.36,3.1,0.11135962981674073,0.156525439178855,0.7320293798790353,0.6796564810846236,0.5319321364123366
Tottenham,1,4,Chelsea,2023-11-06,2.0,3.75,3.5,1.7,2.1,0.6122620278919982,0.22763176368348095,0.1601033022266596,0.4737405191860998,0.7424040833668962
Wolves,2,1,Tottenham,2023-11-11,3.1,3.75,2.2,1.62,2.25,0.16329956794684114,0.23302702741208517,0.6036711683341053,0.4586496287448716,0.7552332853421343
Arsenal,3,1,Burnley,2023-11-11,1.18,7.0,17.0,1.48,2.6,0.7490361519993124,0.16211524919065157,0.08881317502749544,0.5801541468622687,0.6426618256508738
Manchester Utd,1,0,Luton Town,2023-11-11,1.33,5.25,9.5,1.53,2.4,0.5181274268900566,0.2615871243495016,0.22028489546346214,0.42417221980909936,0.7834017802135829
Crystal Palace,2,3,Everton,2023-11-11,2.45,3.2,3.0,2.25,1.62,0.552534710441931,0.2814720182884915,0.16599305721245305,0.3144507428657817,0.8629360375255746
Bournemouth,2,0,Newcastle Utd,2023-11-11,4.75,4.0,1.73,1.7,2.1,0.11936763970174309,0.1914646230509974,0.6891549696342638,0.5376130086889502,0.6845744465987964
West Ham,3,2,Nott'ham Forest,2023-11-12,1.85,3.6,4.0,1.75,2.05,0.593362352247794,0.22989559294495968,0.17673920011704958,0.490579241483506,0.7277199058429024
Liverpool,3,0,Brentford,2023-11-12,1.4,5.0,6.5,1.44,2.7,0.7011856709704029,0.1865478992085388,0.1122515868509176,0.5406508539733895,0.6816759725097868
Aston Villa,3,1,Fulham,2023-11-12,1.57,4.2,5.5,1.7,2.1,0.5990363445099187,0.21586705223597735,0.1850899563818511,0.5615317853416215,0.6613567241061544
Brighton,1,1,Sheffield Utd,2023-11-12,1.25,5.75,13.0,1.4,2.88,0.9342100691078586,0.03128134475421017,0.015076269071758418,0.8495551152553948,0.1379951546768151
Chelsea,4,4,Manchester City,2023-11-12,5.0,3.7,1.73,1.88,2.02,0.3188696275696898,0.23344928170646073,0.447678623039972,0.6090214746773821,0.6124967323082475
Manchester City,1,1,Liverpool,2023-11-25,1.73,4.2,4.2,1.48,2.6,0.5469990304250988,0.2334143261848466,0.21958390424899946,0.5319861495362684,0.6899017323596813
Burnley,1,2,West Ham,2023-11-25,3.4,3.5,2.05,1.75,2.05,0.3827874163547371,0.25700089359127953,0.36021125580134405,0.5110071062913932,0.7093692883060059
