Home,Hscore,Ascore,Away,date,Odds_1,Odds_X,Odds_2,O,U,proba_win_0.008,proba_draw_0.008,proba_lose_0.008,proba_O_0.008,proba_U_0.008
Wolves,2,2,Newcastle Utd,2023-10-28,4.2,4.0,1.75,1.75,2.05,0.2551768133035573,0.3347441463628408,0.41007903067229295,0.24461499126437003,0.755385008262647
West Ham,0,1,Everton,2023-10-29,2.15,3.5,3.3,1.73,2.08,0.3065930931961789,0.24858433475581748,0.44482165997028533,0.5346885868401963,0.4653111035264452
Liverpool,3,0,Nott'ham Forest,2023-10-29,1.29,5.75,11.0,1.4,2.88,0.7131051471748544,0.18285692629116335,0.10402230360604846,0.5349182229284027,0.4650814661268966
Brighton,1,1,Fulham,2023-10-29,1.55,4.2,5.5,1.5,2.5,0.5998703778913947,0.18098169463917207,0.21906220493399392,0.7829161480032123,0.21705374677817543
Aston Villa,3,1,Luton Town,2023-10-29,1.25,6.5,9.5,1.48,2.6,0.8438857185306903,0.1067153858335271,0.04913147441860561,0.693726645141708,0.3062677903342129
Manchester Utd,0,3,Manchester City,2023-10-29,5.0,3.8,1.67,1.7,2.1,0.1648644000982817,0.20587025684729057,0.6292552771322546,0.572429814752045,0.427569566001306
Fulham,0,1,Manchester Utd,2023-11-04,3.2,3.6,2.2,1.75,2.05,0.3674257201578302,0.28064855733028465,0.35192562418593704,0.4150034820872241,0.5849964878712532
Brentford,3,2,West Ham,2023-11-04,2.05,3.6,3.5,1.73,2.08,0.5961911696982177,0.2381389456235938,0.16566815022346065,0.4437236793620039,0.5562762666658162
Everton,1,1,Brighton,2023-11-04,3.1,3.6,2.2,1.57,2.35,0.3010293499108574,0.2273578524979499,0.471608847016457,0.6308790134093327,0.3691192041072269
Burnley,0,2,Crystal Palace,2023-11-04,2.75,3.25,2.6,2.2,1.65,0.30339449515032946,0.29419565134674425,0.4024097982016598,0.3615585898226505,0.6384414007130849
Manchester City,6,1,Bournemouth,2023-11-04,1.1,11.0,19.0,1.29,3.6,0.8535224925390563,0.10608580520274309,0.040214214929396475,0.6421944908494952,0.3578033235045731
Sheffield Utd,2,1,Wolves,2023-11-04,3.8,3.5,2.0,1.91,1.99,0.24342290685648663,0.24586733465293092,0.5107084478065104,0.5043341147656304,0.4956657098463302
Newcastle Utd,1,0,Arsenal,2023-11-04,2.8,3.2,2.6,1.95,1.95,0.47686291997693964,0.2114099254100747,0.31171469185263184,0.7166548893851221,0.28333662332536413
Nott'ham Forest,2,0,Aston Villa,2023-11-05,4.2,3.75,1.85,1.73,2.08,0.1926097920301547,0.2258942175627527,0.5814921225340649,0.5300113431156845,0.4699883730096702
Luton Town,1,1,Liverpool,2023-11-05,12.0,6.5,1.22,1.36,3.1,0.0380290687370268,0.09683567687447205,0.864845243842202,0.6809855918272378,0.31900999776013383
Tottenham,1,4,Chelsea,2023-11-06,2.0,3.75,3.5,1.7,2.1,0.5107162351687508,0.2580058605601623,0.23127724407323252,0.4465385133022025,0.5534614295982844
Wolves,2,1,Tottenham,2023-11-11,3.1,3.75,2.2,1.62,2.25,0.3552616118899254,0.27017394418379126,0.37456425754161476,0.45546005933065425,0.544539872484379
Arsenal,3,1,Burnley,2023-11-11,1.18,7.0,17.0,1.48,2.6,0.8828395634557261,0.07803782124078146,0.03790128592779761,0.8016979883765578,0.198258059946795
Manchester Utd,1,0,Luton Town,2023-11-11,1.33,5.25,9.5,1.53,2.4,0.675519460579545,0.23005203491611803,0.09442706032907952,0.35105785416985247,0.6489421383779228
Crystal Palace,2,3,Everton,2023-11-11,2.45,3.2,3.0,2.25,1.62,0.4472181158634363,0.3353321537598426,0.21744971653534173,0.23049901861437988,0.7695009810782717
Bournemouth,2,0,Newcastle Utd,2023-11-11,4.75,4.0,1.73,1.7,2.1,0.10824504386106477,0.1439252742315622,0.7476472807810841,0.740568705324571,0.25941802026522875
West Ham,3,2,Nott'ham Forest,2023-11-12,1.85,3.6,4.0,1.75,2.05,0.5036090743105196,0.23821663364164108,0.2581722322080679,0.5496459978301849,0.450353594039855
Liverpool,3,0,Brentford,2023-11-12,1.4,5.0,6.5,1.44,2.7,0.6625147408760502,0.19330543672998596,0.14416334549491466,0.5878988719927343,0.41210030780257645
Aston Villa,3,1,Fulham,2023-11-12,1.57,4.2,5.5,1.7,2.1,0.7411259788660397,0.16863036461718806,0.09021821051447682,0.555956700675428,0.4440428410606381
Brighton,1,1,Sheffield Utd,2023-11-12,1.25,5.75,13.0,1.4,2.88,0.7631903092251409,0.15105762946614543,0.08569003364423573,0.6238155016588043,0.3761829290578155
Chelsea,4,4,Manchester City,2023-11-12,5.0,3.7,1.73,1.88,2.02,0.14906584436398576,0.24082075004997636,0.6101120219380307,0.41022232875935416,0.5897776440486312
