Modèle 2 :;;;;;;;;;;;;;;
Home;Hscore;Ascore;Away;date;Odds_1;Odds_X;Odds_2;O;U;proba_win;proba_draw;proba_lose;proba_O;proba_U
Chelsea;2;2;Burnley;30/03/2024;1.29;6.0;9.5;1.48;2.6;0.6677251708515863;0.1885498195570097;0.1437098725388945;0.5754457929697561;0.4245537156627039
Aston Villa;2;0;Wolves;30/03/2024;1.6;4.33;5.0;1.57;2.35;0.5715713556063488;0.2206332278910712;0.20779195860389765;0.5317309678872298;0.4682688089874118
Brentford;1;1;Manchester Utd;30/03/2024;3.0;3.8;2.2;1.53;2.4;0.39390965192143246;0.24428351396343168;0.3618063549803576;0.5208209841355549;0.47917883387026755
Liverpool;2;1;Brighton;31/03/2024;1.36;5.5;7.5;1.36;3.1;0.6793268279125845;0.1749300570194801;0.1457066012264364;0.6506434291279379;0.3493547320777489
Manchester City;0;0;Arsenal;31/03/2024;1.91;3.8;3.8;1.7;2.1;0.4947741660293964;0.22362313812469645;0.28159985580778946;0.5919559883847336;0.408043368058647
Newcastle Utd;1;1;Everton;02/04/2024;2.0;3.75;3.5;1.67;2.2;0.657135754971659;0.1913920421971299;0.15145687469578428;0.5869023289299244;0.4130970247357449
Nott'ham Forest;3;1;Fulham;02/04/2024;2.7;3.4;2.63;1.8;2.0;0.33356423661018475;0.24899554182864733;0.4174397624907413;0.5057432564030492;0.49425659546931044
Bournemouth;1;0;Crystal Palace;02/04/2024;1.95;3.8;3.6;1.73;2.1;0.4319277296826487;0.25215448872346896;0.315917375441355;0.48595210566890845;0.5140477916568602
Burnley;1;1;Wolves;02/04/2024;2.45;3.6;2.75;1.84;2.06;0.32275524658150795;0.2642721356978458;0.4129724426583682;0.436539167308424;0.5634607928024356
West Ham;1;1;Tottenham;02/04/2024;3.3;4.2;1.95;1.33;3.4;0.34665492893072014;0.2174155140221517;0.43592514979269786;0.669281565540517;0.3307157130756272
Arsenal;2;0;Luton Town;03/04/2024;1.1;10.0;19.0;1.25;4.0;0.8488571270293617;0.09270193670955146;0.05734505255947615;0.82160810985695;0.17833998957224967
Brentford;0;0;Brighton;03/04/2024;2.38;3.8;2.75;1.57;2.38;0.3956291348943708;0.2313167530415633;0.37305266068696047;0.600076973990156;0.39992222296776775
Manchester City;4;1;Aston Villa;03/04/2024;1.3;6.0;8.0;1.4;3.0;0.6731611365182604;0.1832080765307554;0.14360791871619233;0.6103961913904201;0.3896028276080476
Liverpool;3;1;Sheffield Utd;04/04/2024;1.09;12.0;21.0;1.2;4.5;0.9290614652096539;0.04827927302987178;0.019049022697825383;0.8511477526555282;0.14874706042942484
Chelsea;4;3;Manchester Utd;04/04/2024;2.0;4.0;3.4;1.4;3.0;0.4270189890030383;0.2484216884896903;0.32455882329965263;0.5057448541750919;0.49425499767666314
Crystal Palace;2;4;Manchester City;06/04/2024;9.5;5.25;1.33;1.67;2.2;0.1340291398983978;0.19984730857200073;0.6661159188151752;0.510176856657736;0.48982298054042783
Luton Town;2;1;Bournemouth;06/04/2024;3.75;3.8;1.91;1.5;2.63;0.4802481801579647;0.20975477830648778;0.3099883939184466;0.6943820567565261;0.3056136810802344
Wolves;1;2;West Ham;06/04/2024;2.5;3.6;2.7;1.8;2.0;0.4211928100437827;0.2511671697723895;0.3276396128251129;0.49418038061146347;0.5058194997355567
Fulham;0;1;Newcastle Utd;06/04/2024;2.38;3.8;2.8;1.5;2.63;0.366532677629346;0.22111156338281845;0.41235258626664445;0.6538225401671419;0.346175390311727
Everton;1;0;Burnley;06/04/2024;1.65;4.0;5.25;1.8;2.0;0.49562442578140525;0.26061243446689064;0.24376278562876177;0.4118297850940817;0.5881701905310094
Aston Villa;3;3;Brentford;06/04/2024;1.7;4.0;4.75;1.53;2.5;0.5610234200996259;0.21272235167612694;0.2262474015474498;0.6041177180201932;0.39588141439148683
Brighton;0;3;Arsenal;06/04/2024;5.0;4.33;1.62;1.62;2.3;0.24449129379387252;0.21102534671110645;0.5444753835576855;0.6338083110730285;0.36619022718381106
Manchester Utd;2;2;Liverpool;07/04/2024;4.75;4.5;1.6;1.33;3.4;0.2516320091013722;0.2388957012171954;0.5094710072985486;0.5064750020976283;0.49352484746356795
Sheffield Utd;2;2;Chelsea;07/04/2024;7.0;5.25;1.4;1.4;3.0;0.1615721004149469;0.18187922822708494;0.656517135909175;0.6568468853634118;0.3431508946269448
Tottenham;3;1;Nott'ham Forest;07/04/2024;1.4;5.5;6.5;1.4;3.0;0.6671527963730469;0.1794660317020323;0.15334804874045427;0.6518225823026067;0.34817538310148505
