Modèle 1 :;;;;;;;;;;;;;;
Home;Hscore;Ascore;Away;date;Odds_1;Odds_X;Odds_2;O;U;proba_win;proba_draw;proba_lose;proba_O;proba_U
Tottenham;2;1;Luton Town;30/03/2024;1.2;8.0;11.0;1.25;4.0;0.6744473682356483;0.16231384140543828;0.16307555432985138;0.7841698409290229;0.21579930930675123
Nott'ham Forest;1;1;Crystal Palace;30/03/2024;2.2;3.3;3.4;2.08;1.73;0.36752188435486133;0.2661207712652179;0.3663571060383856;0.4722978416818357;0.5277020634699554
Sheffield Utd;3;3;Fulham;30/03/2024;4.5;4.0;1.73;1.65;2.2;0.13484000833267895;0.18557878412682224;0.6795585727580779;0.6024910835354953;0.3975078487802369
Chelsea;2;2;Burnley;30/03/2024;1.29;6.0;9.5;1.48;2.6;0.5793034823819924;0.24558611322791665;0.17510917386163447;0.430440945578901;0.5695590131634394
Aston Villa;2;0;Wolves;30/03/2024;1.6;4.33;5.0;1.57;2.35;0.5695889326129159;0.23196898830939652;0.19843928041624814;0.5125394497625569;0.487460345547732
Brentford;1;1;Manchester Utd;30/03/2024;3.0;3.8;2.2;1.53;2.4;0.3671964593681782;0.24197141227519997;0.39083093518331685;0.5813545653262178;0.4186447065597085
Liverpool;2;1;Brighton;31/03/2024;1.36;5.5;7.5;1.36;3.1;0.6764813132895983;0.17922276692810904;0.14425732024015164;0.6558322358830799;0.34416496930505625
Manchester City;0;0;Arsenal;31/03/2024;1.91;3.8;3.8;1.7;2.1;0.5574137399342197;0.21524805775371902;0.22732961491870096;0.6238482528791488;0.37615017746842705
Newcastle Utd;1;1;Everton;02/04/2024;2.0;3.75;3.5;1.67;2.2;0.65829637920872;0.19082760882912675;0.15085515790996065;0.6140677556391615;0.3859309285083202
Nott'ham Forest;3;1;Fulham;02/04/2024;2.7;3.4;2.63;1.8;2.0;0.28706198183323656;0.24432776187898617;0.4686089573122293;0.5432294921660067;0.4567701453339288
Bournemouth;1;0;Crystal Palace;02/04/2024;1.95;3.8;3.6;1.73;2.1;0.3416881931102472;0.2604624828979918;0.3978489645961575;0.4939435555734883;0.5060563005089366
Burnley;1;1;Wolves;02/04/2024;2.45;3.6;2.75;1.84;2.06;0.36149842977636265;0.2962578754458045;0.34224365485902886;0.36069242813273755;0.6393075625877802
West Ham;1;1;Tottenham;02/04/2024;3.3;4.2;1.95;1.33;3.4;0.3488636910261171;0.22894293428840512;0.4221902230700367;0.64277089203748;0.35722690015694536
Arsenal;2;0;Luton Town;03/04/2024;1.1;10.0;19.0;1.25;4.0;0.8321652535745875;0.1001879618271925;0.0666009162086087;0.8280478384101101;0.17187575304096397
Brentford;0;0;Brighton;03/04/2024;2.38;3.8;2.75;1.57;2.38;0.37622802862125143;0.24987587460481514;0.37389540803050614;0.544080058821357;0.45591957294525454
Manchester City;4;1;Aston Villa;03/04/2024;1.3;6.0;8.0;1.4;3.0;0.7128558850333391;0.16899689563826273;0.11810185209585546;0.6391756854582837;0.3608222453379222
Liverpool;3;1;Sheffield Utd;04/04/2024;1.09;12.0;21.0;1.2;4.5;0.9225441137696625;0.05170105294065773;0.022110428843486195;0.8570030649312403;0.14285070359520452
Chelsea;4;3;Manchester Utd;04/04/2024;2.0;4.0;3.4;1.4;3.0;0.44555355562482674;0.2541955835084696;0.3002502112520849;0.5074494719017838;0.4925503421303483
Crystal Palace;2;4;Manchester City;06/04/2024;9.5;5.25;1.33;1.67;2.2;0.09299163408948788;0.16939557121376794;0.7375868344374462;0.56135881712282;0.43864067711418625
Luton Town;2;1;Bournemouth;06/04/2024;3.75;3.8;1.91;1.5;2.63;0.4904108397237258;0.213279308327701;0.2962989329077192;0.6978254245932015;0.3021685792740866
Wolves;1;2;West Ham;06/04/2024;2.5;3.6;2.7;1.8;2.0;0.332797415503241;0.267990892865391;0.3992114630050214;0.4612849841679025;0.5387149393647211
Fulham;0;1;Newcastle Utd;06/04/2024;2.38;3.8;2.8;1.5;2.63;0.3588594573552477;0.22758364820406954;0.41355347110881213;0.6517877040128409;0.34820969806560786
Everton;1;0;Burnley;06/04/2024;1.65;4.0;5.25;1.8;2.0;0.377791956247901;0.2913753731979736;0.3308326154963976;0.375671819881658;0.6243281671588133
Aston Villa;3;3;Brentford;06/04/2024;1.7;4.0;4.75;1.53;2.5;0.5408805820667375;0.22187468063286495;0.23723896718043852;0.6039267624960161;0.3960721417643714
Brighton;0;3;Arsenal;06/04/2024;5.0;4.33;1.62;1.62;2.3;0.213162566679454;0.2111049243879548;0.5757219980490109;0.6253990123754287;0.3745993734722342
Manchester Utd;2;2;Liverpool;07/04/2024;4.75;4.5;1.6;1.33;3.4;0.21680275667549248;0.20741123487307608;0.5757724081173397;0.6481448094427501;0.35185275797797244
Sheffield Utd;2;2;Chelsea;07/04/2024;7.0;5.25;1.4;1.4;3.0;0.12832015660328455;0.1836715773189231;0.6879854582253573;0.5954649494889126;0.4045341102001477
Tottenham;3;1;Nott'ham Forest;07/04/2024;1.4;5.5;6.5;1.4;3.0;0.6452006315832038;0.1889554441189883;0.16581558053814535;0.6542263349032162;0.3457709502032291
Newcastle Utd;4;0;Tottenham;13/04/2024;2.7;4.0;2.3;1.36;3.2;0.4545520163838718;0.21505249460073628;0.3303862326875467;0.7071181372066324;0.2928747501466884
Manchester City;5;1;Luton Town;13/04/2024;1.1;11.0;19.0;1.29;3.75;0.8842165845193399;0.07630719079717344;0.03803980231131024;0.8145639965308858;0.18537865004873588
Nott'ham Forest;2;2;Wolves;13/04/2024;2.1;3.4;3.5;1.86;2.04;0.3837944291964905;0.27356125470128767;0.34264416105180323;0.44095565613778837;0.5590442928216043
Brentford;2;0;Sheffield Utd;13/04/2024;1.44;5.0;6.5;1.53;2.5;0.695828474856984;0.17114306060163015;0.13297555464801825;0.668728735213245;0.3312677354625347
Burnley;1;1;Brighton;13/04/2024;3.5;3.75;2.0;1.67;2.2;0.2775065802389558;0.2655308694386941;0.4569621913454967;0.450595583007297;0.5494043550982218
Bournemouth;2;2;Manchester Utd;13/04/2024;2.4;3.9;2.6;1.44;2.75;0.24514134311281738;0.22064157450027766;0.5342107356639885;0.6181704268897927;0.38182815619491706
Liverpool;0;1;Crystal Palace;14/04/2024;1.22;7.0;12.0;1.4;3.0;0.7460367886150091;0.15673505884231292;0.09716852851838663;0.635787458901111;0.3642105945161132
