Home;Hscore;Ascore;Away;date;Odds_1;Odds_X;Odds_2;O;U;proba_win;proba_draw;proba_lose;proba_O;proba_U;
Sheffield Utd;2;3;Luton Town;26/12/2023;2.3;3.3;3.1;2.1;1.7;;;;;;
Burnley;0;2;Liverpool;26/12/2023;6.5;5.25;1.4;1.44;2.7;;;;;;
Manchester Utd;3;2;Aston Villa;26/12/2023;2.6;3.5;2.6;1.62;2.25;;;;;;
Chelsea;2;1;Crystal Palace;27/12/2023;1.67;4.0;5.0;1.91;1.99;;;;;;
Brentford;1;4;Wolves;27/12/2023;1.95;3.5;4.2;2.03;1.87;;;;;;
Everton;1;3;Manchester City;27/12/2023;5.75;4.0;1.57;1.73;2.08;;;;;;
Brighton;4;2;Tottenham;28/12/2023;2.5;3.6;2.6;1.44;2.7;;;;;;
Arsenal;0;2;West Ham;28/12/2023;1.33;5.5;7.5;1.57;2.35;;;;;;
Luton Town;2;3;Chelsea;30/12/2023;6.5;4.2;1.5;1.65;2.2;;;;;;
Aston Villa;3;2;Burnley;30/12/2023;1.36;5.25;7.5;1.57;2.35;;;;;;
Wolves;3;0;Everton;30/12/2023;2.63;3.3;2.7;2.05;1.75;;;;;;
Manchester City;2;0;Sheffield Utd;30/12/2023;1.08;11.0;29.0;1.3;3.5;;;;;;
Crystal Palace;3;1;Brentford;30/12/2023;2.2;3.3;3.4;2.15;1.67;;;;;;
Nott'ham Forest;2;1;Manchester Utd;30/12/2023;3.2;3.6;2.15;1.73;2.08;;;;;;
Tottenham;3;1;Bournemouth;31/12/2023;1.75;4.2;4.0;1.4;2.88;;;;;;
Fulham;2;1;Arsenal;31/12/2023;5.25;4.5;1.55;1.73;2.08;;;;;;
Liverpool;4;2;Newcastle Utd;01/01/2024;1.45;4.5;7.0;1.44;2.7;0.606147141933338;0.20486396572955046;0.18897564173450815;0.6190205836016511;0.38097797759342544;
West Ham;0;0;Brighton;02/01/2024;2.45;3.75;2.75;1.6;2.3;0.4413458716785465;0.2418821460305362;0.3167706069689119;0.5694079820804628;0.43059143206315653;
Burnley;1;1;Luton Town;12/01/2024;2.0;3.6;3.6;1.99;1.91;0.466668593904811;0.2481577920473465;0.28517259315020127;0.525343330016526;0.47465640982786195;
Chelsea;1;0;Fulham;13/01/2024;1.6;4.2;5.25;1.62;2.25;0.5104558435328695;0.25994903506114203;0.2295945278352288;0.43797589631122796;0.5620240556220184;
Newcastle Utd;2;3;Manchester City;13/01/2024;5.5;4.33;1.55;1.6;2.3;0.2228842234351503;0.21804510882189826;0.5590636022090216;0.6051786459551217;0.39482023324619797;
Everton;0;0;Aston Villa;14/01/2024;2.8;3.5;2.45;1.73;2.08;0.25507967224358163;0.24890190712486415;0.49601735195467705;0.501506557458949;0.49849327635365376;
Manchester Utd;2;2;Tottenham;14/01/2024;2.2;3.75;3.0;1.48;2.6;0.39317518283279185;0.23957084836892906;0.3672525551742622;0.5930406263684175;0.40695847368614585;
Arsenal;5;0;Crystal Palace;20/01/2024;1.3;5.75;9.0;1.73;2.08;0.6844597522156576;0.18975538733218794;0.1257693927955578;0.5613085115836731;0.4386909831185651;
Brentford;3;2;Nott'ham Forest;20/01/2024;1.91;3.6;4.0;1.86;2.04;0.5696887742922585;0.22669299210364802;0.20361435995244073;0.5415516486133731;0.45844799994318247;
Sheffield Utd;2;2;West Ham;21/01/2024;3.4;3.3;2.2;2.05;1.75;0.15339068531862582;0.2092673566991228;0.6373345624726813;0.5359418735146557;0.464057809684096;
Bournemouth;0;4;Liverpool;21/01/2024;4.2;4.5;1.7;1.44;2.7;0.1238117960878952;0.16705359893046004;0.709077191080326;0.6650293607084088;0.3349673387076589;
